Contract,Last,Change,Open,High,Low,Previous,Volume,"Open Int",Time
"NGK30 (May '30)",2.923,0.008,0,2.923,2.923,2.915,0,152,2025-03-20
"NGM30 (Jun '30)",3.064,0.008,0,3.064,3.064,3.056,0,157,2025-03-20
"NGN30 (Jul '30)",3.214,0.008,0,3.214,3.214,3.206,0,140,2025-03-20
"NGQ30 (Aug '30)",3.265,0.008,0,3.265,3.265,3.257,0,142,2025-03-20
"NGU30 (Sep '30)",3.211,0.008,0,3.211,3.211,3.203,0,139,2025-03-20
"NGV30 (Oct '30)",3.267,0.008,0,3.267,3.267,3.259,0,173,2025-03-20
"NGX30 (Nov '30)",3.498,0.008,0,3.498,3.498,3.49,0,123,2025-03-20
"NGZ30 (Dec '30)",3.925,0.008,0,3.925,3.925,3.917,0,110,2025-03-20
"NGF31 (Jan '31)",4.196,0.008,0,4.196,4.196,4.188,0,25,2025-03-20
"NGG31 (Feb '31)",3.942,0.008,0,3.942,3.942,3.934,0,26,2025-03-20
"NGH31 (Mar '31)",3.314,0.008,0,3.314,3.314,3.306,0,38,2025-03-20
"NGJ31 (Apr '31)",2.859,0.008,0,2.859,2.859,2.851,0,46,2025-03-20
"NGK31 (May '31)",2.884,0.008,0,2.884,2.884,2.876,0,41,2025-03-20
"NGM31 (Jun '31)",3.039,0.008,0,3.039,3.039,3.031,0,44,2025-03-20
"NGN31 (Jul '31)",3.204,0.008,0,3.204,3.204,3.196,0,25,2025-03-20
"NGQ31 (Aug '31)",3.242,0.008,0,3.242,3.242,3.234,0,25,2025-03-20
"NGU31 (Sep '31)",3.217,0.008,0,3.217,3.217,3.209,0,26,2025-03-20
"NGV31 (Oct '31)",3.291,0.008,0,3.291,3.291,3.283,0,51,2025-03-20
"NGX31 (Nov '31)",3.543,0.008,0,3.543,3.543,3.535,0,25,2025-03-20
"NGZ31 (Dec '31)",3.966,0.008,0,3.966,3.966,3.958,0,25,2025-03-20
"NGF32 (Jan '32)",4.241,0.008,0,4.241,4.241,4.233,0,7,2025-03-20
"NGG32 (Feb '32)",3.976,0.008,0,3.976,3.976,3.968,0,7,2025-03-20
"NGH32 (Mar '32)",3.356,0.008,0,3.356,3.356,3.348,0,7,2025-03-20
"NGJ32 (Apr '32)",2.886,0.008,0,2.886,2.886,2.878,0,9,2025-03-20
"NGK32 (May '32)",2.906,0.008,0,2.906,2.906,2.898,0,7,2025-03-20
"NGM32 (Jun '32)",3.036,0.008,0,3.036,3.036,3.028,0,7,2025-03-20
"NGN32 (Jul '32)",3.181,0.008,0,3.181,3.181,3.173,0,7,2025-03-20
"NGQ32 (Aug '32)",3.213,0.008,0,3.213,3.213,3.205,0,7,2025-03-20
"NGU32 (Sep '32)",3.188,0.008,0,3.188,3.188,3.18,0,7,2025-03-20
"NGV32 (Oct '32)",3.263,0.008,0,3.263,3.263,3.255,0,23,2025-03-20
"NGX32 (Nov '32)",3.518,0.008,0,3.518,3.518,3.51,0,7,2025-03-20
"NGZ32 (Dec '32)",3.908,0.008,0,3.908,3.908,3.9,0,10,2025-03-20
"NGF33 (Jan '33)",4.148,0.008,0,4.148,4.148,4.14,0,0,2025-03-20
"NGG33 (Feb '33)",3.913,0.008,0,3.913,3.913,3.905,0,0,2025-03-20
"NGH33 (Mar '33)",3.283,0.008,0,3.283,3.283,3.275,0,0,2025-03-20
"NGJ33 (Apr '33)",2.833,0.008,0,2.833,2.833,2.825,0,2,2025-03-20
"NGK33 (May '33)",2.863,0.008,0,2.863,2.863,2.855,0,0,2025-03-20
"NGM33 (Jun '33)",3.005,0.008,0,3.005,3.005,2.997,0,0,2025-03-20
"NGN33 (Jul '33)",3.17,0.008,0,3.17,3.17,3.162,0,0,2025-03-20
"NGQ33 (Aug '33)",3.21,0.008,0,3.21,3.21,3.202,0,0,2025-03-20
"NGU33 (Sep '33)",3.225,0.008,0,3.225,3.225,3.217,0,0,2025-03-20
"NGV33 (Oct '33)",3.271,0.008,0,3.271,3.271,3.263,0,16,2025-03-20
"NGX33 (Nov '33)",3.531,0.008,0,3.531,3.531,3.523,0,0,2025-03-20
"NGZ33 (Dec '33)",3.961,0.008,0,3.961,3.961,3.953,0,0,2025-03-20
"NGF34 (Jan '34)",4.236,0.008,0,4.236,4.236,4.228,0,0,2025-03-20
"NGG34 (Feb '34)",4.036,0.008,0,4.036,4.036,4.028,0,0,2025-03-20
"NGH34 (Mar '34)",3.461,0.008,0,3.461,3.461,3.453,0,0,2025-03-20
"NGJ34 (Apr '34)",3.061,0.008,0,3.061,3.061,3.053,0,0,2025-03-20
"NGK34 (May '34)",3.091,0.008,0,3.091,3.091,3.083,0,0,2025-03-20
"NGM34 (Jun '34)",3.221,0.008,0,3.221,3.221,3.213,0,0,2025-03-20
"NGN34 (Jul '34)",3.366,0.008,0,3.366,3.366,3.358,0,0,2025-03-20
"NGQ34 (Aug '34)",3.406,0.008,0,3.406,3.406,3.398,0,0,2025-03-20
"NGU34 (Sep '34)",3.421,0.008,0,3.421,3.421,3.413,0,0,2025-03-20
"NGV34 (Oct '34)",3.467,0.008,0,3.467,3.467,3.459,0,0,2025-03-20
"NGX34 (Nov '34)",3.707,0.008,0,3.707,3.707,3.699,0,0,2025-03-20
"NGZ34 (Dec '34)",4.107,0.008,0,4.107,4.107,4.099,0,0,2025-03-20
"NGF35 (Jan '35)",4.327,0.008,0,4.327,4.327,4.319,0,0,2025-03-20
"NGG35 (Feb '35)",4.127,0.008,0,4.127,4.127,4.119,0,0,2025-03-20
"NGH35 (Mar '35)",3.737,0.008,0,3.737,3.737,3.729,0,0,2025-03-20
"NGJ35 (Apr '35)",3.407,0.008,0,3.407,3.407,3.399,0,0,2025-03-20
"NGK35 (May '35)",3.385,0.008,0,3.385,3.385,3.377,0,0,2025-03-20
"NGM35 (Jun '35)",3.42,0.008,0,3.42,3.42,3.412,0,0,2025-03-20
"NGN35 (Jul '35)",3.46,0.008,0,3.46,3.46,3.452,0,0,2025-03-20
"NGQ35 (Aug '35)",3.5,0.008,0,3.5,3.5,3.492,0,0,2025-03-20
"NGU35 (Sep '35)",3.515,0.008,0,3.515,3.515,3.507,0,0,2025-03-20
"NGV35 (Oct '35)",3.561,0.008,0,3.561,3.561,3.553,0,0,2025-03-20
"NGX35 (Nov '35)",3.633,0.008,0,3.633,3.633,3.625,0,0,2025-03-20
"NGZ35 (Dec '35)",3.788,0.008,0,3.788,3.788,3.78,0,0,2025-03-20
"NGF36 (Jan '36)",4.038,0.008,0,4.038,4.038,4.03,0,0,2025-03-20
"NGG36 (Feb '36)",3.838,0.008,0,3.838,3.838,3.83,0,0,2025-03-20
"NGH36 (Mar '36)",3.538,0.008,0,3.538,3.538,3.53,0,0,2025-03-20
"NGJ36 (Apr '36)",3.208,0.008,0,3.208,3.208,3.2,0,0,2025-03-20
"NGK36 (May '36)",3.186,0.008,0,3.186,3.186,3.178,0,0,2025-03-20
"NGM36 (Jun '36)",3.221,0.008,0,3.221,3.221,3.213,0,0,2025-03-20
"NGN36 (Jul '36)",3.261,0.008,0,3.261,3.261,3.253,0,0,2025-03-20
"NGQ36 (Aug '36)",3.301,0.008,0,3.301,3.301,3.293,0,0,2025-03-20
"NGU36 (Sep '36)",3.316,0.008,0,3.316,3.316,3.308,0,0,2025-03-20
"NGV36 (Oct '36)",3.362,0.008,0,3.362,3.362,3.354,0,0,2025-03-20
"NGX36 (Nov '36)",3.434,0.008,0,3.434,3.434,3.426,0,0,2025-03-20
"NGZ36 (Dec '36)",3.589,0.008,0,3.589,3.589,3.581,0,0,2025-03-20
"NGF37 (Jan '37)",3.814,0.008,0,3.814,3.814,3.806,0,0,2025-03-20
"NGG37 (Feb '37)",3.664,0.008,0,3.664,3.664,3.656,0,0,2025-03-20
"NGH37 (Mar '37)",3.464,0.008,0,3.464,3.464,3.456,0,0,2025-03-20
"NGJ37 (Apr '37)",3.134,0.008,0,3.134,3.134,3.126,0,0,2025-03-20
"NGK37 (May '37)",3.112,0.008,0,3.112,3.112,3.104,0,0,2025-03-20
"NGM37 (Jun '37)",3.147,0.008,0,3.147,3.147,3.139,0,0,2025-03-20
"NGN37 (Jul '37)",3.187,0.008,0,3.187,3.187,3.179,0,0,2025-03-20
"NGQ37 (Aug '37)",3.227,0.008,0,3.227,3.227,3.219,0,0,2025-03-20
"NGU37 (Sep '37)",3.242,0.008,0,3.242,3.242,3.234,0,0,2025-03-20
"NGV37 (Oct '37)",3.288,0.008,0,3.288,3.288,3.28,0,0,2025-03-20
"NGX37 (Nov '37)",3.36,0.008,0,3.36,3.36,3.352,0,0,2025-03-20
"NGZ37 (Dec '37)",3.515,0.008,0,3.515,3.515,3.507,0,0,2025-03-20
"Downloaded from Barchart.com as of 03-21-2025 06:26am CDT"
